what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_IN",1449590920616
processors,sysinfo,,,"4",1449590920616
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1449590920616
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1449590920616
java.specification.name,sysinfo,,,"Java Platform API Specification",1449590920616
java.specification.vendor,sysinfo,,,"Oracle Corporation",1449590920616
java.specification.version,sysinfo,,,"1.8",1449590920616
java.vendor,sysinfo,,,"Oracle Corporation",1449590920616
java.version,sysinfo,,,"1.8.0_31",1449590920616
java.vm.info,sysinfo,,,"mixed mode",1449590920616
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1449590920616
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1449590920616
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1449590920616
java.vm.specification.version,sysinfo,,,"1.8",1449590920616
java.vm.vendor,sysinfo,,,"Oracle Corporation",1449590920616
java.vm.version,sysinfo,,,"25.31-b07",1449590920616
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1449590920762
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1449590920769
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1449590920775
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1449590920887
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1449590920888
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1449590920946
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1449590921138
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1449590921139
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1449590921169
